Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.01808891175835384,0.20665626594116304,0.9746748825301934,0.014873575287177053,-0.20665626594116304,0.9746748825301934
ENSG00000241860,AL627309.5,0.000287125583465934,-1.8864531384503191,0.7160332678192326,0.0010623982347983609,1.8864531384503191,0.7160332678192326
ENSG00000286448,AP006222.2,0.004019758168523076,0.020437457158199557,1.0,0.0031871947043950826,-0.020437457158199557,1.0
ENSG00000235146,AC114498.1,0.000287125583465934,-0.8864531384503191,1.0,0.0,0.8864531384503191,1.0
ENSG00000229905,AL669831.2,0.0014356279173296698,-0.30149063772916307,1.0,0.0010623982347983609,0.30149063772916307,1.0
ENSG00000237491,LINC01409,0.07493977728460877,0.21623252552424566,0.8409902957560844,0.06374389408790165,-0.21623252552424566,0.8409902957559646
ENSG00000228794,LINC01128,0.11599873572023732,-0.2019549641782481,0.7532560975682697,0.13279977934979512,0.2019549641782481,0.7532560975682697
ENSG00000225880,LINC00115,0.04048470726869669,0.17583113980402487,0.9311568746507923,0.03505914174834591,-0.17583113980402487,0.9311568746507923
ENSG00000230368,FAM41C,0.02526705134500219,0.5018174512657403,0.6116098447627581,0.016998371756773774,-0.5018174512657403,0.6116098447627489
ENSG00000272438,AL645608.6,0.000287125583465934,-0.8864531384503191,1.0,0.0,0.8864531384503191,1.0
ENSG00000230699,AL645608.2,0.000574251166931868,-0.30149063772916307,1.0,0.0,0.30149063772916307,1.0
ENSG00000241180,AL645608.4,0.0008613767503978019,0.11354686154968086,1.0,0.0,-0.11354686154968086,1.0
ENSG00000223764,LINC02593,0.1369589033132505,0.19423470711524216,0.841039665246402,0.11898860229741642,-0.19423470711524216,0.841039665246402
ENSG00000187634,SAMD11,0.38072852367582843,0.14320360900405782,0.8926805394733521,0.3442170280746689,-0.14320360900405782,0.8926805394733521
ENSG00000188976,NOC2L,1.0761466868303204,0.046257757523078744,1.0,1.042212668337192,-0.046257757523078744,1.0
ENSG00000187961,KLHL17,0.2426211180287142,-0.20085827462267103,0.7160332678192326,0.27834833751717053,0.20085827462267103,0.7160332678192326
ENSG00000187583,PLEKHN1,0.05857361902705053,-0.11386363455339099,0.9604808012072131,0.0626814958531033,0.11386363455339099,0.9604808012072131
ENSG00000187642,PERM1,0.04278171193642416,0.8829339334082649,0.1565017096327424,0.02231036293076558,-0.8829339334082649,0.1565017096327424
ENSG00000272512,AL645608.7,0.06029637252784613,-0.14263387324304988,0.9152018249876761,0.06586869055749837,0.14263387324304988,0.9152018249876761
ENSG00000188290,HES4,2.435112073374586,0.013353660328268457,1.0,2.413768789461876,-0.013353660328268457,1.0
ENSG00000187608,ISG15,25.740234306554047,-0.14875245678221916,0.8170735745737019,28.55726455137994,0.14875245678221916,0.8170735745737019
ENSG00000188157,AGRN,0.9532569371069007,0.14029261993395004,0.8926805394733521,0.8647921631258658,-0.14029261993395004,0.8926805394733521
ENSG00000237330,RNF223,0.0600092469443802,0.36836076057850686,0.6241258058178751,0.04568312409632952,-0.36836076057850686,0.6241258058178676
ENSG00000131591,C1orf159,0.3247390348999713,-0.036415644510063405,1.0,0.332530647491887,0.036415644510063405,1.0
ENSG00000223823,LINC01342,0.05484098644199339,0.6541152429123844,0.29430754751645577,0.03399674351354755,-0.6541152429123844,0.29430754751645577
ENSG00000272141,AL390719.2,0.22596783418769004,0.7469139942338918,0.0627611500694124,0.13386217758459348,-0.7469139942338918,0.0627611500694124
ENSG00000162571,TTLL10,0.001148502333863736,-1.5645250435629556,0.5277014396601722,0.0031871947043950826,1.5645250435629556,0.5277014396601722
ENSG00000186891,TNFRSF18,0.7703579404391008,-0.36664890183353954,0.3843244024687376,0.9933423495364675,0.36664890183353954,0.38432440246873195
ENSG00000186827,TNFRSF4,0.3365111838220746,-1.2697817780018241,3.7366019152715935e-07,0.8116722513859478,1.2697817780018241,3.7366019152715935e-07
ENSG00000078808,SDF4,2.0805119777941576,-0.2586571668683164,0.5688482537098852,2.490261462367358,0.2586571668683164,0.5688482537098852
ENSG00000176022,B3GALT6,0.5446772318348767,0.05836730219287933,1.0,0.5226999315207935,-0.05836730219287933,1.0
ENSG00000184163,C1QTNF12,0.028138307179661527,-0.06445144042831252,1.0,0.028684752339555745,0.06445144042831252,1.0
ENSG00000260179,AL162741.1,0.0017227535007956038,-1.0790982163927136,0.7532560975682697,0.0031871947043950826,1.0790982163927136,0.7532560975682697
ENSG00000160087,UBE2J2,0.8593668713135404,-0.0834284698914474,0.918186464564651,0.9104752872221953,0.0834284698914474,0.918186464564651
ENSG00000230415,LINC01786,0.000574251166931868,-1.8864531384503191,0.5413919988078675,0.0021247964695967217,1.8864531384503191,0.5413919988078675
ENSG00000162572,SCNN1D,0.18117624316700434,-0.2192970108168648,0.7037088230472954,0.21035485049007546,0.2192970108168648,0.7037088230472954
ENSG00000131584,ACAP3,0.6905370282355712,-0.1893075878950452,0.7160332678192326,0.7872370919855854,0.1893075878950452,0.7160332678192326
ENSG00000169972,PUSL1,0.3769958910907713,0.12900051395619427,0.9252552331652822,0.3442170280746689,-0.12900051395619427,0.9252552331652822
ENSG00000127054,INTS11,1.344034856204037,-0.13233577191656687,0.8525013933571014,1.4735463516653267,0.13233577191656687,0.8525013933571014
ENSG00000224051,CPTP,0.3847482818443515,-0.34910865796190205,0.41406912381070227,0.48976558624204436,0.34910865796190205,0.41406912381070227
ENSG00000169962,TAS1R3,0.018663162925285706,-1.724702068453706,0.0001431226254040498,0.06161909761830493,1.724702068453706,0.0001431226254040498
ENSG00000107404,DVL1,0.7083388144104591,-0.0705970933115237,0.9483716067434602,0.7436787643588526,0.0705970933115237,0.9483716067434602
ENSG00000162576,MXRA8,1.9306324232249399,-0.7724411122408105,0.0047672122715166415,3.299808917283709,0.7724411122408105,0.004767212271515963
ENSG00000175756,AURKAIP1,3.100382050265155,-0.12627894956152752,0.8617889811910237,3.385863174302376,0.12627894956152752,0.8617889811910237
ENSG00000221978,CCNL2,1.630299062919573,-0.10328225115863532,0.9003514868195002,1.7518946891824971,0.10328225115863532,0.9003514868195002
ENSG00000224870,MRPL20-AS1,0.2630070344547955,0.30327309396580726,0.6122126414994785,0.21247964695967217,-0.30327309396580726,0.6122126414994785
ENSG00000242485,MRPL20,2.4104192731965157,0.19120575200809187,0.7621308935009656,2.1120476907791415,-0.19120575200809187,0.7621308935008662
ENSG00000272455,AL391244.2,0.03416794443244614,0.7725099437146143,0.291839566928976,0.019123168226370495,-0.7725099437146143,0.291839566928976
ENSG00000235098,ANKRD65,0.1470082987345582,-0.7540028424266687,0.02108828739099221,0.2475387887080181,0.7540028424266687,0.02108828739099221
ENSG00000225905,AL391244.1,0.000287125583465934,-2.471415639171475,0.4712847678336975,0.0021247964695967217,2.471415639171475,0.4712847678336975
ENSG00000225285,LINC01770,0.07120714469955162,0.09626887011784602,1.0,0.06586869055749837,-0.09626887011784602,1.0
ENSG00000179403,VWA1,2.6705550518166516,-0.19147019145823085,0.7160332678192326,3.0512077303408924,0.19147019145823085,0.7160332678192326
ENSG00000215915,ATAD3C,0.10078107979654283,-0.05637813989263085,1.0,0.10411502701023936,0.05637813989263085,1.0
ENSG00000160072,ATAD3B,0.4904104965598152,-0.2638604180116475,0.55788354791135,0.588568622078292,0.2638604180116475,0.55788354791135
ENSG00000197785,ATAD3A,0.5461128597522064,-0.22840748407638123,0.6408222569978286,0.6395637373486133,0.22840748407638123,0.6408222569979646
ENSG00000205090,TMEM240,0.030148186263923064,-0.5508501066658793,0.4004428185011451,0.0435583276267328,0.5508501066658793,0.40044281850109353
ENSG00000160075,SSU72,2.486220427231522,0.06634863010464986,1.0,2.375522453009135,-0.06634863010464986,1.0
ENSG00000215014,AL645728.1,0.005742511669318679,-0.49413571567155845,0.8268035840263523,0.0074367876435885265,0.49413571567155845,0.8268035840263523
ENSG00000228594,FNDC10,0.7100615679112546,0.039662913360415664,1.0,0.6905588526189346,-0.039662913360415664,1.0
ENSG00000286989,AL691432.4,0.02009879084261538,0.8038623624170667,0.41932284330609876,0.01062398234798361,-0.8038623624170667,0.41932284330609876
